cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgxEpq5gj24YBfyYnnp4AaABAg,"DPR RI adalah sarang Korupsi,itulah para bajingan "" ini tidak mau mengesahkan UU perampasan aset para koruptor",3 days ago,@Iksanudinaja,UCZBf30Yo4OtY01E0kId0QYQ,0,,https://yt3.ggpht.com/ytc/AIdro_k_YYK3DguaTmEf0OS9ni-p8B3OjUgYPwUVGcv44bnzgXOkhkPcnYEaaiqygACONf8Oaw=s88-c-k-c0x00ffffff-no-rj,False,False,1781410682.834486
UgxbLPwe4HUOZsNVZMl4AaABAg,"Ngeyel irma itu kan bagian dari oligarki termul,,coba di cek di daerah daerah tetangga saya guru entah pegawai bawahan di salah satu smp SMP NEGERI setiap hari bawa pulang nasi utuh,artinya yg di makan apanya lauknya apa minumannya saja.ternyata alih2 tempat lain sama juga,,berarti yg berarti apanya MBG ITU",3 days ago,@pakgatotsugiantoro6541,UCKINg8rT-rKJ-NQF1rFF-dg,0,,https://yt3.ggpht.com/ytc/AIdro_lXZATiSU94AudKCeqOS-aak7Qi50J9-N9s4qqnF2E7CRmgta6gS959E91ZM-ms0kpswQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410682.835953
UgxUmOMpY2fLv67_ePp4AaABAg,Nggedabrus,3 days ago,@MuhKohar3,UC54eACpl_-34il1gXN73LBA,0,,https://yt3.ggpht.com/hSYSIWM53tEku-g6GyxeWykwzdmU64WQRl6rqFTb0aOIn4HR-rBjvayRDYRwUE8a7qxO8jXt=s88-c-k-c0x00ffffff-no-rj,False,False,1781410682.837385
UgwniYvrBIZJeZ1MoMN4AaABAg,Yg punya dspur mbg ya jadi kaya mendadak pada bikin gedung betingkat mobil borong sekalian berderet roda 2 banyak beli tanah uwang banyak,3 days ago,@EnengOcah,UCKtfz_qYqpdpLeVIq9IhrSg,0,,https://yt3.ggpht.com/ytc/AIdro_kM-WAu7FWM5pmrrS2-NC8y_6-_YVvoqsqAUPMGai-iELDBMp6AMgTDLNobZjJ49rXWmQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410682.838954
Ugx8vsGMrG-FZqbSjdZ4AaABAg,STOP MBG,3 days ago,@gemahstudio,UCzTjrgv0UuT65D1WixvUaBQ,0,,https://yt3.ggpht.com/ytc/AIdro_kUSKeR9fQRtYnpDXpzRglfsj0ivm_nVbhTgZ0NHnUuMA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410682.840369
Ugxps9lx042O7rYGoWx4AaABAg.AY-1Fl8tu6lAY-1TgQ-N3N,"Masalahnya dari rumah itu bawa bekal masakan ibunya,,wadahnya untuk bawa pulang MBG Katanya tidak enak",3 days ago,@pakgatotsugiantoro6541,UCKINg8rT-rKJ-NQF1rFF-dg,0,,https://yt3.ggpht.com/ytc/AIdro_lXZATiSU94AudKCeqOS-aak7Qi50J9-N9s4qqnF2E7CRmgta6gS959E91ZM-ms0kpswQ=s88-c-k-c0x00ffffff-no-rj,False,True,1781410682.989726
UgwMh8mJCscCwvPfNUd4AaABAg,"Udah lah mbg bubar kan saja uwang nya pada di korupsi di plosok "" jga udh pada  di kasi pada kaya mendadakh motor",3 days ago,@EnengOcah,UCKtfz_qYqpdpLeVIq9IhrSg,0,,https://yt3.ggpht.com/ytc/AIdro_kM-WAu7FWM5pmrrS2-NC8y_6-_YVvoqsqAUPMGai-iELDBMp6AMgTDLNobZjJ49rXWmQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.229975
UgwgP_cAFBZSXrZzrWR4AaABAg,Si CEBI komisi 9 mau cuci tangan padahal mrk terima cuan,3 days ago,@AdiRambat-u8z9h,UCrmLFvNvVsob5_SEj5NRrnw,0,,https://yt3.ggpht.com/ytc/AIdro_lO1bg78qyz0HR_ZIH8s5qeSfzYr9fVSd1DukOaqgMnQ42rwYpPYWufcdbL9Z9Zby0O7g=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.231642
UgzW4D0VoI3Q2LaG3JJ4AaABAg,KORUPSI MERAJALELA BELUM LAGI RUPIAH ANJILOK KEMUNGKINAN BISA SAMPAI 19.000/DOLAR KRISISSS,3 days ago,@BidPelayaran-dh5bi,UCv4_Cnd6_S9-7HBQNsY0ZPA,0,,https://yt3.ggpht.com/ytc/AIdro_n7417ek-18wzJI3ZENBm0JLEsWrCcksbQ7WKdHv1tzFUdXjGULqP2rM3Knc8d3lEC4qw=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.233191
UgzXt4mb9Vo8sfKSmml4AaABAg,"Ha ha ha ,,dpr itu komisi2nya kan oligarki pemerintahan.",3 days ago,@pakgatotsugiantoro6541,UCKINg8rT-rKJ-NQF1rFF-dg,0,,https://yt3.ggpht.com/ytc/AIdro_lXZATiSU94AudKCeqOS-aak7Qi50J9-N9s4qqnF2E7CRmgta6gS959E91ZM-ms0kpswQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.234655
Ugy104h6nqnnOyN3Fph4AaABAg,Dpr gk guna buat rakyat.,3 days ago,@suprakarisma5228,UC8-ihURzYv2_b3eTj_DDq4g,0,,https://yt3.ggpht.com/toNCWhVxnv7906GgQQaVIfHEBq4d71mJ-4PCRUTObKn9tXIKILiIRlxVdF6hPTH6mDsD47awEw=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.236073
Ugwcf_BQMPRF4FHRpOB4AaABAg,Guntur Romli menggebugebu😂😂😂,3 days ago,@JalanOi,UC66d33p2gTz1VCoJtMnsU-Q,0,,https://yt3.ggpht.com/YQniATLBqrn_x5HU1wwLKVz8O1CoROCclgYT8sxbyZ-QvNz8Ld50sqtBbqRZ7jjjoKD-wv0f=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.237479
Ugw1lbotWddJvI3Hw5R4AaABAg,OLIGARKI OLIGARKI PASTI MEMBELA LAWONG MEREKA KAN IKUT MAKAN UANG HARAM INI,3 days ago,@pakgatotsugiantoro6541,UCKINg8rT-rKJ-NQF1rFF-dg,0,,https://yt3.ggpht.com/ytc/AIdro_lXZATiSU94AudKCeqOS-aak7Qi50J9-N9s4qqnF2E7CRmgta6gS959E91ZM-ms0kpswQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.238916
Ugxb_LqWDUhQCZ-pdOR4AaABAg,"reformasi tanpa arah ala pdup hanya membawa Indonesia dalam genggaman Singapura dan as
reformasi kok jual Indosat pulau sipadan ligitan lepas
ketika PLN rugi BUMN rugi pertamina rugi pdup diam saja",3 days ago,@burhanhany804,UCQk0130703n33GMPzbMLOLg,0,,https://yt3.ggpht.com/ytc/AIdro_k3hn42XBbDhPE1TBABPWYRzPn-BQvYJpvvswbgmnY=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.240387
UgxANFxsjobzybW11GN4AaABAg,Intinya hapus program MBG dan koperasi merah putih,3 days ago,@baim1234-ku7uo,UCe3LmPw-KVhOBh4s0rzK0Ig,0,,https://yt3.ggpht.com/ytc/AIdro_mpFau04g7lpf3j1Idi_VL4kYNkmRGco0gPXutarM5aqrp-0ikLVrEKPxAWjk4ALu40mw=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.241817
UgyrmBQY_hzUcawnTRp4AaABAg,Siapa,3 days ago,@baim1234-ku7uo,UCe3LmPw-KVhOBh4s0rzK0Ig,0,,https://yt3.ggpht.com/ytc/AIdro_mpFau04g7lpf3j1Idi_VL4kYNkmRGco0gPXutarM5aqrp-0ikLVrEKPxAWjk4ALu40mw=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.243236
Ugzn6l3nzM8GHXw251x4AaABAg,Itulah bukti oknum DPR banyak yang terlibat,3 days ago,@sanduprandi,UC-dDSbuQJja1Hp5DoD2awjw,20,1,https://yt3.ggpht.com/ZyE7g-7YB2OWn_3LQg4_daYv31TIcicbqS2agc_s5Cs9GgezkJ6tsl1FFpUvs25Idpk61WAXQA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.244626
UgzlehY2eS1J1xQF-AZ4AaABAg,Si irma chaniago termul tulen mbg harus di tutup bikin korupsi besar2an habis dong uang rakyst (apbn)indonesia makin ancur,3 days ago,@DamSix-j1q,UCrSMVuDKX3ypGCTQDol8kgA,0,,https://yt3.ggpht.com/ytc/AIdro_n4wJ1o745a8pX0WITv50Uujw4uXvzulMVIepHG4zeFQ8-oJCV9hJ7hsVaXbntXvYzOwA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.246056
UgyvQnSS6hBZ5v-8myh4AaABAg,"lost kontrol,,  dpr/bgn ngawur",3 days ago (edited),@qurantv6280,UC4mkWQnlD1sgdDef1QZC9Bg,0,,https://yt3.ggpht.com/ytc/AIdro_lYGN7QfHOibvm7sLp0osn2pTtXBgB4mMRBowx_Lshvz78=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.247485
UgxfwKaMmIzeWsWYLP94AaABAg,Irma hanya besar mulut anda sama dg mereka,3 days ago,@mutarripTarrip,UCy32yFqkGBIBHBL2vCNfEeQ,0,,https://yt3.ggpht.com/ytc/AIdro_lbt1NidQ4VdFp9wmZ5GL_I7v8iWlfLsmTPztZ966MdCWX3HyB8AR4y_ozf4bQkMiOO-w=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.248875
UgxDcMPJ3U4PgRMUMad4AaABAg,"DPR yg sekarang dari partai Pendukung partai pemerintah ,pasti yg didukung pemerintah yg disetujui ja akan ada cek and Balance ,DpR itu bukan wakil rakyat tapi wakil partai pendukung pemerintah",3 days ago,@RWH12HWR21,UCl2jFdJqCuUH5bcKkc_6M1w,0,,https://yt3.ggpht.com/ytc/AIdro_lXNBnVor2T5FVc9Go-w378cXn6JmX-YLkW1G6mVZyFzwgLjg01XTaBOrjvCuKmfuRq9g=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.250349
UgwReoWjX0OEcZDlJdx4AaABAg,PDI emang paling pas jadi oposisi,3 days ago,@erghazy,UCysX3z4EmbGlyv6FYK3F3nw,0,,https://yt3.ggpht.com/Td48CHK3dT0P8PiPL5616Vn8y18c4OmehQMZWRtx5xxtBxcWPSGBXWBiBhGt2qhZAsl9Tkld=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.251915
UgxXAe5TgpYli-YOarJ4AaABAg,Sisa untuk membangun Sekolah SMPN dan SMAN di setiap desa angkat guru guru dan tenaga medis itu kan lebih berguna untuk semua rakyat dgn jangka panjang,3 days ago,@RWH12HWR21,UCl2jFdJqCuUH5bcKkc_6M1w,0,,https://yt3.ggpht.com/ytc/AIdro_lXNBnVor2T5FVc9Go-w378cXn6JmX-YLkW1G6mVZyFzwgLjg01XTaBOrjvCuKmfuRq9g=s88-c-k-c0x00ffffff-no-rj,False,False,1781410683.253712
